2026-06-16 07:38:57 | ml_trading | INFO | Train target distribution: {0: 421, 1: 417, 2: 232}
2026-06-16 07:38:58 | ml_trading | INFO | Initial model: xgboost
2026-06-16 07:38:58 | ml_trading | INFO | Generating 3 calibration-train folds [1082:1281]
2026-06-16 07:38:58 | ml_trading | INFO | Generating 2 calibration-val folds [1293:1415]
2026-06-16 07:38:58 | ml_trading | INFO | Calibration-train: 150 samples
2026-06-16 07:38:58 | ml_trading | INFO | Calibration-val: 100 samples
2026-06-16 07:38:58 | ml_trading | INFO | Fitting calibrators on calibration-train set
2026-06-16 07:38:58 | ml_trading | INFO | Evaluating calibrators on calibration-val set
2026-06-16 07:38:58 | ml_trading | INFO | Selected calibrator: platt
2026-06-16 07:38:58 | ml_trading | INFO |   Validation ECE: 0.0997
2026-06-16 07:38:58 | ml_trading | INFO | Walk-forward test: 6 folds on [1439:1784]
2026-06-16 07:38:58 | ml_trading | INFO | Train target distribution: {0: 620, 1: 537, 2: 270}
2026-06-16 07:39:01 | ml_trading | INFO |   Fold 1/6: [1439:1489] → 50 predictions
2026-06-16 07:39:01 | ml_trading | INFO | Train target distribution: {0: 637, 1: 569, 2: 271}
2026-06-16 07:39:04 | ml_trading | INFO |   Fold 2/6: [1489:1539] → 50 predictions
2026-06-16 07:39:04 | ml_trading | INFO | Train target distribution: {0: 684, 1: 570, 2: 273}
2026-06-16 07:39:06 | ml_trading | INFO |   Fold 3/6: [1539:1589] → 50 predictions
2026-06-16 07:39:06 | ml_trading | INFO | Train target distribution: {0: 729, 1: 574, 2: 274}
2026-06-16 07:39:15 | ml_trading | INFO |   Fold 4/6: [1589:1639] → 50 predictions
2026-06-16 07:39:15 | ml_trading | INFO | Train target distribution: {0: 764, 1: 589, 2: 274}
2026-06-16 07:39:23 | ml_trading | INFO |   Fold 5/6: [1639:1689] → 50 predictions
2026-06-16 07:39:23 | ml_trading | INFO | Train target distribution: {0: 774, 1: 618, 2: 285}
2026-06-16 07:39:29 | ml_trading | INFO |   Fold 6/6: [1689:1739] → 50 predictions
2026-06-16 07:39:29 | ml_trading | INFO | Generated 300 out-of-sample predictions
2026-06-16 07:39:29 | ml_trading | INFO | Prediction distribution: {0.0: 300}
2026-06-16 07:39:29 | ml_trading | INFO |   Running backtest: No Filter
2026-06-16 07:39:29 | ml_trading | INFO | Confidence stats: mean=0.547, median=0.548, max=0.569, p95=0.558
2026-06-16 07:39:29 | ml_trading | INFO | Predictions >=60%: 0
2026-06-16 07:39:29 | ml_trading | INFO | Predictions >=70%: 0
2026-06-16 07:39:29 | ml_trading | INFO |   Running backtest: Conf >= 60%
2026-06-16 07:39:29 | ml_trading | INFO | Confidence stats: mean=0.547, median=0.548, max=0.569, p95=0.558
2026-06-16 07:39:29 | ml_trading | INFO | Predictions >=60%: 0
2026-06-16 07:39:29 | ml_trading | INFO | Predictions >=70%: 0
2026-06-16 07:39:29 | ml_trading | INFO |   Running backtest: Conf >= 70%
2026-06-16 07:39:29 | ml_trading | INFO | Confidence stats: mean=0.547, median=0.548, max=0.569, p95=0.558
2026-06-16 07:39:29 | ml_trading | INFO | Predictions >=60%: 0
2026-06-16 07:39:29 | ml_trading | INFO | Predictions >=70%: 0

============================================================================================================================================
BACKTEST COMPARISON: BTCUSDT 1h
============================================================================================================================================

Labeling Method           Confidence       Return%     Sharpe    Sortino    PF       MaxDD%     WinRate%    Trades    AvgTrade%  
---------------------------------------------------------------------------------------------------------------------------------
Fixed Horizon             No Filter        2.20        4.11      6.41       1.77     0.84       57.14              7  0.36       
Fixed Horizon             Conf >= 60%      0.00        0.00      0.00       0.00     0.00       0.00               0  0.00       
Fixed Horizon             Conf >= 70%      0.00        0.00      0.00       0.00     0.00       0.00               0  0.00       
Triple TP=2.0 SL=2.0      No Filter        18.26       8.14      33.09      5.69     3.09       60.00             25  0.72       
Triple TP=2.0 SL=2.0      Conf >= 60%      -2.09       -8.00     0.00       0.32     3.00       50.00              2  -0.99      
Triple TP=2.0 SL=2.0      Conf >= 70%      0.00        0.00      0.00       0.00     0.00       0.00               0  0.00       
Triple TP=2.5 SL=1.5      No Filter        11.60       4.49      7.90       2.02     4.27       54.17             24  0.52       
Triple TP=2.5 SL=1.5      Conf >= 60%      0.00        0.00      0.00       0.00     0.00       0.00               0  0.00       
Triple TP=2.5 SL=1.5      Conf >= 70%      0.00        0.00      0.00       0.00     0.00       0.00               0  0.00       
Triple TP=3.0 SL=1.5      No Filter        11.60       4.49      7.90       2.02     4.27       54.17             24  0.52       
Triple TP=3.0 SL=1.5      Conf >= 60%      0.00        0.00      0.00       0.00     0.00       0.00               0  0.00       
Triple TP=3.0 SL=1.5      Conf >= 70%      0.00        0.00      0.00       0.00     0.00       0.00               0  0.00       

============================================================================================================================================
RANKINGS
============================================================================================================================================

BY SHARPE RATIO:
Rank                      Labeling         Confidence  Sharpe    Return%    Sortino  Trades   
----------------------------------------------------------------------------------------------------
  1.  Triple TP=2.0 SL=2.0      No Filter          8.14     18.26%    33.09      25
  2.  Triple TP=2.5 SL=1.5      No Filter          4.49     11.60%     7.90      24
  3.  Triple TP=3.0 SL=1.5      No Filter          4.49     11.60%     7.90      24
  4.  Fixed Horizon             No Filter          4.11      2.20%     6.41       7
  5.  Fixed Horizon             Conf >= 60%        0.00      0.00%     0.00       0

BY PROFIT FACTOR:
Rank                      Labeling         Confidence  PF        Return%    WinRate%  Trades   
----------------------------------------------------------------------------------------------------
  1.  Triple TP=2.0 SL=2.0      No Filter          5.69     18.26%     60.00%      25
  2.  Triple TP=2.5 SL=1.5      No Filter          2.02     11.60%     54.17%      24
  3.  Triple TP=3.0 SL=1.5      No Filter          2.02     11.60%     54.17%      24
  4.  Fixed Horizon             No Filter          1.77      2.20%     57.14%       7
  5.  Triple TP=2.0 SL=2.0      Conf >= 60%        0.32     -2.09%     50.00%       2

