nohup: ignoring input
=================================================
TRAINING BTCUSDT 1h
=================================================

Training model for BTCUSDT 1h...
2026-06-23 11:14:25 | ml_trading | INFO | Database schema initialized
2026-06-23 11:14:25 | ml_trading | INFO | Database initialized at /root/app/ml-project/ml-trading-dashboard/ml_service/storage/database.db
Loaded 17758 candles
Loaded 17758 BTC candles for correlation
Loaded 2414 ES_proxy candles for correlation
2026-06-23 11:22:23 | ml_trading | INFO | Fold 131: train=8448, test=50, purge=12, embargo=12
2026-06-23 11:22:26 | ml_trading | INFO | Fold 132: train=8510, test=50, purge=12, embargo=12
2026-06-23 11:22:29 | ml_trading | INFO | Fold 133: train=8572, test=50, purge=12, embargo=12
2026-06-23 11:22:33 | ml_trading | INFO | Fold 134: train=8634, test=50, purge=12, embargo=12
2026-06-23 11:22:37 | ml_trading | INFO | Fold 135: train=8696, test=50, purge=12, embargo=12
2026-06-23 11:22:39 | ml_trading | INFO | Fold 136: train=8758, test=50, purge=12, embargo=12
2026-06-23 11:22:41 | ml_trading | INFO | Fold 137: train=8820, test=50, purge=12, embargo=12
2026-06-23 11:22:43 | ml_trading | INFO | Fold 138: train=8882, test=50, purge=12, embargo=12
2026-06-23 11:22:46 | ml_trading | INFO | Fold 139: train=8944, test=50, purge=12, embargo=12
2026-06-23 11:22:52 | ml_trading | INFO | Fold 140: train=9006, test=50, purge=12, embargo=12
2026-06-23 11:22:55 | ml_trading | INFO | Fold 141: train=9068, test=50, purge=12, embargo=12
2026-06-23 11:22:58 | ml_trading | INFO | Fold 142: train=9130, test=50, purge=12, embargo=12
2026-06-23 11:23:00 | ml_trading | INFO | Fold 143: train=9192, test=50, purge=12, embargo=12
2026-06-23 11:23:05 | ml_trading | INFO | Fold 144: train=9254, test=50, purge=12, embargo=12
2026-06-23 11:23:08 | ml_trading | INFO | Fold 145: train=9316, test=50, purge=12, embargo=12
2026-06-23 11:23:13 | ml_trading | INFO | Fold 146: train=9378, test=50, purge=12, embargo=12
2026-06-23 11:23:17 | ml_trading | INFO | Fold 147: train=9440, test=50, purge=12, embargo=12
2026-06-23 11:23:21 | ml_trading | INFO | Fold 148: train=9502, test=50, purge=12, embargo=12
2026-06-23 11:23:24 | ml_trading | INFO | Fold 149: train=9564, test=50, purge=12, embargo=12
2026-06-23 11:23:27 | ml_trading | INFO | Fold 150: train=9626, test=50, purge=12, embargo=12
2026-06-23 11:23:30 | ml_trading | INFO | Fold 151: train=9688, test=50, purge=12, embargo=12
2026-06-23 11:23:34 | ml_trading | INFO | Fold 152: train=9750, test=50, purge=12, embargo=12
2026-06-23 11:23:36 | ml_trading | INFO | Fold 153: train=9812, test=50, purge=12, embargo=12
2026-06-23 11:23:38 | ml_trading | INFO | Fold 154: train=9874, test=50, purge=12, embargo=12
2026-06-23 11:23:42 | ml_trading | INFO | Fold 155: train=9936, test=50, purge=12, embargo=12
2026-06-23 11:23:44 | ml_trading | INFO | Fold 156: train=9998, test=50, purge=12, embargo=12
2026-06-23 11:23:47 | ml_trading | INFO | Fold 157: train=10060, test=50, purge=12, embargo=12
2026-06-23 11:23:51 | ml_trading | INFO | Fold 158: train=10122, test=50, purge=12, embargo=12
2026-06-23 11:23:53 | ml_trading | INFO | Fold 159: train=10184, test=50, purge=12, embargo=12
2026-06-23 11:23:56 | ml_trading | INFO | Fold 160: train=10246, test=50, purge=12, embargo=12
2026-06-23 11:23:59 | ml_trading | INFO | Fold 161: train=10308, test=50, purge=12, embargo=12
2026-06-23 11:24:03 | ml_trading | INFO | Fold 162: train=10370, test=50, purge=12, embargo=12
2026-06-23 11:24:06 | ml_trading | INFO | Fold 163: train=10432, test=50, purge=12, embargo=12
2026-06-23 11:24:09 | ml_trading | INFO | Fold 164: train=10494, test=50, purge=12, embargo=12
2026-06-23 11:24:11 | ml_trading | INFO | Fold 165: train=10556, test=50, purge=12, embargo=12
2026-06-23 11:24:15 | ml_trading | INFO | Fold 166: train=10618, test=50, purge=12, embargo=12
2026-06-23 11:24:17 | ml_trading | INFO | Fold 167: train=10680, test=50, purge=12, embargo=12
2026-06-23 11:24:19 | ml_trading | INFO | Fold 168: train=10742, test=50, purge=12, embargo=12
2026-06-23 11:24:22 | ml_trading | INFO | Fold 169: train=10804, test=50, purge=12, embargo=12
2026-06-23 11:24:25 | ml_trading | INFO | Fold 170: train=10866, test=50, purge=12, embargo=12
2026-06-23 11:24:28 | ml_trading | INFO | Fold 171: train=10928, test=50, purge=12, embargo=12
2026-06-23 11:24:35 | ml_trading | INFO | Fold 172: train=10990, test=50, purge=12, embargo=12
2026-06-23 11:24:38 | ml_trading | INFO | Fold 173: train=11052, test=50, purge=12, embargo=12
2026-06-23 11:24:40 | ml_trading | INFO | Fold 174: train=11114, test=50, purge=12, embargo=12
2026-06-23 11:24:43 | ml_trading | INFO | Fold 175: train=11176, test=50, purge=12, embargo=12
2026-06-23 11:24:45 | ml_trading | INFO | Fold 176: train=11238, test=50, purge=12, embargo=12
2026-06-23 11:24:48 | ml_trading | INFO | Fold 177: train=11300, test=50, purge=12, embargo=12
2026-06-23 11:24:52 | ml_trading | INFO | Fold 178: train=11362, test=50, purge=12, embargo=12
2026-06-23 11:24:55 | ml_trading | INFO | Fold 179: train=11424, test=50, purge=12, embargo=12
2026-06-23 11:24:58 | ml_trading | INFO | Fold 180: train=11486, test=50, purge=12, embargo=12
2026-06-23 11:25:01 | ml_trading | INFO | Fold 181: train=11548, test=50, purge=12, embargo=12
2026-06-23 11:25:08 | ml_trading | INFO | Fold 182: train=11610, test=50, purge=12, embargo=12
2026-06-23 11:25:12 | ml_trading | INFO | Fold 183: train=11672, test=50, purge=12, embargo=12
2026-06-23 11:25:16 | ml_trading | INFO | Fold 184: train=11734, test=50, purge=12, embargo=12
2026-06-23 11:25:20 | ml_trading | INFO | Fold 185: train=11796, test=50, purge=12, embargo=12
2026-06-23 11:25:25 | ml_trading | INFO | Fold 186: train=11858, test=50, purge=12, embargo=12
2026-06-23 11:25:29 | ml_trading | INFO | Fold 187: train=11920, test=50, purge=12, embargo=12
2026-06-23 11:25:34 | ml_trading | INFO | Fold 188: train=11982, test=50, purge=12, embargo=12
2026-06-23 11:25:39 | ml_trading | INFO | Fold 189: train=12044, test=50, purge=12, embargo=12
2026-06-23 11:25:42 | ml_trading | INFO | Fold 190: train=12106, test=50, purge=12, embargo=12
2026-06-23 11:25:47 | ml_trading | INFO | Fold 191: train=12168, test=50, purge=12, embargo=12
2026-06-23 11:25:51 | ml_trading | INFO | Fold 192: train=12230, test=50, purge=12, embargo=12
2026-06-23 11:25:57 | ml_trading | INFO | Fold 193: train=12292, test=50, purge=12, embargo=12
2026-06-23 11:26:00 | ml_trading | INFO | Fold 194: train=12354, test=50, purge=12, embargo=12
2026-06-23 11:26:04 | ml_trading | INFO | Fold 195: train=12416, test=50, purge=12, embargo=12
2026-06-23 11:26:10 | ml_trading | INFO | Fold 196: train=12478, test=50, purge=12, embargo=12
2026-06-23 11:26:13 | ml_trading | INFO | Fold 197: train=12540, test=50, purge=12, embargo=12
2026-06-23 11:26:17 | ml_trading | INFO | Fold 198: train=12602, test=50, purge=12, embargo=12
2026-06-23 11:26:20 | ml_trading | INFO | Fold 199: train=12664, test=50, purge=12, embargo=12
2026-06-23 11:26:23 | ml_trading | INFO | Fold 200: train=12726, test=50, purge=12, embargo=12
2026-06-23 11:26:26 | ml_trading | INFO | Fold 201: train=12788, test=50, purge=12, embargo=12
2026-06-23 11:26:30 | ml_trading | INFO | Fold 202: train=12850, test=50, purge=12, embargo=12
2026-06-23 11:26:33 | ml_trading | INFO | Fold 203: train=12912, test=50, purge=12, embargo=12
2026-06-23 11:26:37 | ml_trading | INFO | Fold 204: train=12974, test=50, purge=12, embargo=12
2026-06-23 11:26:40 | ml_trading | INFO | Fold 205: train=13036, test=50, purge=12, embargo=12
2026-06-23 11:26:43 | ml_trading | INFO | Fold 206: train=13098, test=50, purge=12, embargo=12
2026-06-23 11:26:47 | ml_trading | INFO | Fold 207: train=13160, test=50, purge=12, embargo=12
2026-06-23 11:26:50 | ml_trading | INFO | Fold 208: train=13222, test=50, purge=12, embargo=12
2026-06-23 11:26:52 | ml_trading | INFO | Fold 209: train=13284, test=50, purge=12, embargo=12
2026-06-23 11:26:56 | ml_trading | INFO | Fold 210: train=13346, test=50, purge=12, embargo=12
2026-06-23 11:26:59 | ml_trading | INFO | Fold 211: train=13408, test=50, purge=12, embargo=12
